machine, size, metric, invocations, min, max, mean
f3,200_200_50,300,"l2_subp2_write_sector_misses",132802,138968,134641
f3,200_200_50,300,"l2_subp3_write_sector_misses",132895,138147,134341
f3,200_200_50,300,"l2_subp0_read_sector_misses",149943,152255,150496
f3,200_200_50,300,"l2_subp1_read_sector_misses",150052,152128,150608
f3,200_200_50,300,"l2_subp2_read_sector_misses",149951,152850,150608
f3,200_200_50,300,"l2_subp3_read_sector_misses",150114,151835,150722
f3,200_200_50,300,"l2_subp0_write_l1_sector_queries",147290,147558,147322
f3,200_200_50,300,"l2_subp1_write_l1_sector_queries",147310,147618,147346
f3,200_200_50,300,"l2_subp2_write_l1_sector_queries",147321,147613,147353
f3,200_200_50,300,"l2_subp3_write_l1_sector_queries",147327,147611,147370
f3,200_200_50,300,"l2_subp0_read_l1_sector_queries",220653,220653,220653
f3,200_200_50,300,"l2_subp1_read_l1_sector_queries",220809,220809,220809
f3,200_200_50,300,"l2_subp2_read_l1_sector_queries",220776,220776,220776
f3,200_200_50,300,"l2_subp3_read_l1_sector_queries",220912,220912,220912
f3,200_200_50,300,"l2_subp0_read_l1_hit_sectors",69751,71244,70871
f3,200_200_50,300,"l2_subp1_read_l1_hit_sectors",69949,71365,70935
f3,200_200_50,300,"l2_subp2_read_l1_hit_sectors",69749,71247,70906
f3,200_200_50,300,"l2_subp3_read_l1_hit_sectors",69826,71243,70891
f3,200_200_50,300,"l2_subp0_read_tex_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp1_read_tex_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp2_read_tex_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp3_read_tex_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp0_read_tex_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp1_read_tex_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp2_read_tex_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp3_read_tex_hit_sectors",0,0,0
f3,200_200_50,300,"rocache_subp0_gld_thread_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp1_gld_thread_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp2_gld_thread_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp3_gld_thread_count_32b",0,0,0
